PCB_BOM.csv,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created：11/07/26 22:19:29,,,,BOM Export Date: 11/07/26 22:32:49,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$7.47
",,,,Website：https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
,,,1uF,C0603,,-,8,,,CL10B105KA8NNNC,Samsung Electro-Mechanics,50,0.0309,1.55,C29936,0603,50,50,4000,786500,In Stock,,1uF ±10% 25V Ceramic Capacitor X7R 0603,Partial Matches,https://www.lcsc.com/product-detail/C29936.html
,,,100nF,C0603,,-,3,,,CL10B104KB8NNNC,Samsung Electro-Mechanics,100,0.0233,2.33,C1591,0603,100,100,4000,2290700,In Stock,,100nF ±10% 50V Ceramic Capacitor X7R 0603,Partial Matches,https://www.lcsc.com/product-detail/C1591.html
,,,5.1K,R0603,,-,6,,,FRC0603F5101TS,FOJAN,100,0.0028,0.28,C2907044,0603,100,100,5000,3430400,In Stock,,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,Partial Matches,https://www.lcsc.com/product-detail/C2907044.html
C2684433,CoreChips(和芯润德),SL2.1s,,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,,-,1,,,SL2.1s,CoreChips,5,0.2534,1.27,C2684433,SSOP-16,5,5,7500,8355,In Stock,,4 Hub USB 2.0 SSOP-16 Interface Controllers RoHS,Exact Matches,https://www.lcsc.com/product-detail/C2684433.html
C668591,SHOU HAN(首韩),10.0 QHHTZB6.3,,USB-A-TH_10.0QHHTZB6.3,,-,2,,,10.0 QHHTZB6.3,SHOU HAN,10,0.0633,0.63,C668591,SMD,10,10,100,42860,In Stock,,"USB-A (USB TYPE-A) Receptacle Connector 4 Position Surface Mount, Right Angle",Exact Matches,https://www.lcsc.com/product-detail/C668591.html
C2765186,SHOU HAN(首韩),TYPE-C 16PIN 2MD(073),,USB-C-SMD_TYPE-C-16PIN-2MD-073,,-,3,,,TYPE-C 16PIN 2MD(073),SHOU HAN,20,0.0707,1.41,C2765186,SMD,20,20,1000,1025420,In Stock,,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",Exact Matches,https://www.lcsc.com/product-detail/C2765186.html
